ICD_CODE,LONG_DESCRIPTION,CHARLSON_GROUP
C45.7,Mesothelioma of other sites,CANCER
C45.9,"Mesothelioma, unspecified",CANCER
C46.,Kaposi sarcoma,CANCER
C46.0,Kaposi sarcoma of skin,CANCER
C46.1,Kaposi sarcoma of soft tissue,CANCER
C46.2,Kaposi sarcoma of palate,CANCER
C46.3,Kaposi sarcoma of lymph nodes,CANCER
C46.7,Kaposi sarcoma of other sites,CANCER
C46.8,Kaposi sarcoma of multiple organs,CANCER
C46.9,"Kaposi sarcoma, unspecified",CANCER
C47.0,"Malignant neoplasm of peripheral nerves of head, face and neck",CANCER
C47.1,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",CANCER
C47.2,"Malignant neoplasm of peripheral nerves of lower limb, including hip",CANCER
C47.3,Malignant neoplasm of peripheral nerves of thorax,CANCER
C47.4,Malignant neoplasm of peripheral nerves of abdomen,CANCER
C47.5,Malignant neoplasm of peripheral nerves of pelvis,CANCER
C47.6,"Malignant neoplasm of peripheral nerves of trunk, unspecified",CANCER
C47.8,Overlapping malignant lesion of peripheral nerves and autonomic nervous system,CANCER
C47.9,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",CANCER
C48.0,Malignant neoplasm of retroperitoneum,CANCER
C48.1,Malignant neoplasm of specified parts of peritoneum,CANCER
C48.2,"Malignant neoplasm of peritoneum, unspecified",CANCER
C48.8,Overlapping malignant lesion of retroperitoneum and peritoneum,CANCER
C49.0,"Malignant neoplasm of connective and soft tissue of head, face and neck",CANCER
C49.1,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",CANCER
C49.2,"Malignant neoplasm of connective and soft tissue of lower limb, including hip",CANCER
C49.3,Malignant neoplasm of connective and soft tissue of thorax,CANCER
C49.4,Malignant neoplasm of connective and soft tissue of abdomen,CANCER
C49.5,Malignant neoplasm of connective and soft tissue of pelvis,CANCER
C49.6,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",CANCER
C49.8,Overlapping malignant lesion of connective and soft tissue,CANCER
C49.9,"Malignant neoplasm of connective and soft tissue, unspecified",CANCER
C50.0,Malignant neoplasm of nipple and areola,CANCER
C50.1,Malignant neoplasm of central portion of breast,CANCER
C50.2,Malignant neoplasm of upper-inner quadrant of breast,CANCER
C50.3,Malignant neoplasm of lower-inner quadrant of breast,CANCER
C50.4,Malignant neoplasm of upper-outer quadrant of breast,CANCER
C50.5,Malignant neoplasm of lower-outer quadrant of breast,CANCER
C50.6,Malignant neoplasm of axillary tail of breast,CANCER
C50.8,Overlapping malignant lesion of breast,CANCER
C50.9,"Malignant neoplasm of breast, unspecified part",CANCER
C51.0,Malignant neoplasm of labium majus,CANCER
C51.1,Malignant neoplasm of labium minus,CANCER
C51.2,Malignant neoplasm of clitoris,CANCER
C51.8,Overlapping malignant lesion of vulva,CANCER
C51.9,"Malignant neoplasm of vulva, unspecified",CANCER
C52.,Malignant neoplasm of vagina,CANCER
C53.0,Malignant neoplasm of endocervix,CANCER
C53.1,Malignant neoplasm of exocervix,CANCER
C53.8,Overlapping malignant lesion of cervix uteri,CANCER
C53.9,"Malignant neoplasm of cervix uteri, unspecified",CANCER
C54.0,Malignant neoplasm of isthmus uteri,CANCER
C54.1,Malignant neoplasm of endometrium,CANCER
C54.2,Malignant neoplasm of myometrium,CANCER
C54.3,Malignant neoplasm of fundus uteri,CANCER
C54.8,Overlapping malignant lesion of corpus uteri,CANCER
C54.9,"Malignant neoplasm of corpus uteri, unspecified",CANCER
C55.,"Malignant neoplasm of uterus, part unspecified",CANCER
C56.,Malignant neoplasm of ovary,CANCER
C57.0,Malignant neoplasm of fallopian tube,CANCER
C57.1,Malignant neoplasm of broad ligament,CANCER
C57.2,Malignant neoplasm of round ligament,CANCER
C57.3,Malignant neoplasm of parametrium,CANCER
C57.4,"Malignant neoplasm of uterine adnexa, unspecified",CANCER
C57.7,Malignant neoplasm of other specified female genital organs,CANCER
C57.8,Overlapping malignant lesion of female genital organs,CANCER
C57.9,"Malignant neoplasm of female genital organ, unspecified",CANCER
C58.,Malignant neoplasm of placenta,CANCER
C60.0,Malignant neoplasm of prepuce,CANCER
C60.1,Malignant neoplasm of glans penis,CANCER
C60.2,Malignant neoplasm of body of penis,CANCER
C60.8,Overlapping malignant lesion of penis,CANCER
C60.9,"Malignant neoplasm of penis, unspecified",CANCER
C61.,Malignant neoplasm of prostate,CANCER
C62.0,Malignant neoplasm of undescended testis,CANCER
C62.1,Malignant neoplasm of descended testis,CANCER
C62.9,"Malignant neoplasm of testis, unspecified",CANCER
C63.0,Malignant neoplasm of epididymis,CANCER
C63.1,Malignant neoplasm of spermatic cord,CANCER
C63.2,Malignant neoplasm of scrotum,CANCER
C63.7,Other specified male genital organs,CANCER
C63.8,Overlapping malignant lesion of male genital organs,CANCER
C63.9,"Malignant neoplasm of male genital organ, unspecified",CANCER
C64.,"Malignant neoplasm of kidney, except renal pelvis",CANCER
C65.,Malignant neoplasm of renal pelvis,CANCER
C66.,Malignant neoplasm of ureter,CANCER
C67.0,Malignant neoplasm of trigone of bladder,CANCER
C67.1,Malignant neoplasm of dome of bladder,CANCER
C67.2,Malignant neoplasm of lateral wall of bladder,CANCER
C67.3,Malignant neoplasm of anterior wall of bladder,CANCER
C67.4,Malignant neoplasm of posterior wall of bladder,CANCER
C67.5,Malignant neoplasm of bladder neck,CANCER
C67.6,Malignant neoplasm of ureteric orifice,CANCER
C67.7,Malignant neoplasm of urachus,CANCER
C67.8,Overlapping malignant lesion of bladder,CANCER
C67.9,"Malignant neoplasm of bladder, unspecified",CANCER
C68.0,Malignant neoplasm of urethra,CANCER
C68.1,Malignant neoplasm of paraurethral gland,CANCER
C68.8,Overlapping malignant lesion of urinary organs,CANCER
C68.9,"Malignant neoplasm of urinary organ, unspecified",CANCER
C69.0,Malignant neoplasm of conjunctiva,CANCER
C69.1,Malignant neoplasm of cornea,CANCER
C69.2,Malignant neoplasm of retina,CANCER
C69.3,Malignant neoplasm of choroid,CANCER
C69.4,Malignant neoplasm of ciliary body,CANCER
C69.5,Malignant neoplasm of lacrimal gland and duct,CANCER
C69.6,Malignant neoplasm of orbit,CANCER
C69.8,Overlapping malignant lesion of eye and adnexa,CANCER
C69.9,"Malignant neoplasm of eye, unspecified",CANCER
C70.0,Malignant neoplasm of cerebral meninges,CANCER
C70.1,Malignant neoplasm of spinal meninges,CANCER
C70.9,"Malignant neoplasm of meninges, unspecified",CANCER
C71.0,"Malignant neoplasm of cerebrum, except lobes and ventricles",CANCER
C71.1,Malignant neoplasm of frontal lobe,CANCER
C71.2,Malignant neoplasm of temporal lobe,CANCER
C71.3,Malignant neoplasm of parietal lobe,CANCER
C71.4,Malignant neoplasm of occipital lobe,CANCER
C71.5,Malignant neoplasm of cerebral ventricle,CANCER
C71.6,Malignant neoplasm of cerebellum,CANCER
C71.7,Malignant neoplasm of brain stem,CANCER
C71.8,Overlapping malignant lesion of brain,CANCER
C71.9,"Malignant neoplasm of brain, unspecified",CANCER
C72.0,Malignant neoplasm of spinal cord,CANCER
C72.1,Malignant neoplasm of cauda equina,CANCER
C72.2,Malignant neoplasm of olfactory nerve,CANCER
C72.3,Malignant neoplasm of optic nerve,CANCER
C72.4,Malignant neoplasm of acoustic nerve,CANCER
C72.5,Malignant neoplasm of other and unspecified cranial nerves,CANCER
C72.8,Overlapping malignant lesion of brain and other parts of central nervous system,CANCER
C72.9,"Malignant neoplasm of central nervous system, unspecified",CANCER
C73.,Malignant neoplasm of thyroid gland,CANCER
C74.0,Malignant neoplasm of cortex of adrenal gland,CANCER
C74.1,Malignant neoplasm of medulla of adrenal gland,CANCER
