ICD_CODE,LONG_DESCRIPTION,ELIXHAUSER_GROUP
F15.91,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder, methylamphetamine",DRUG_ABUSE
F15.99,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder, other specified stimulants",DRUG_ABUSE
G21.4,Vascular parkinsonism,OTHER_NEUROLOGICAL_DISORDERS
N18.1,"Chronic kidney disease, stage 1",RENAL_FAILURE
N18.2,"Chronic kidney disease, stage 2",RENAL_FAILURE
N18.3,"Chronic kidney disease, stage 3",RENAL_FAILURE
N18.4,"Chronic kidney disease, stage 4",RENAL_FAILURE
N18.5,"Chronic kidney disease, stage 5",RENAL_FAILURE
C79.9,"Secondary malignant neoplasm, unspecified site",METASTATIC_CANCER
C80.0,"Malignant neoplasm, primary site unknown, so stated",METASTATIC_CANCER
C80.9,"Malignant neoplasm, primary site unspecified",METASTATIC_CANCER
C81.4,Lymphocyte-rich (classical) Hodgkin lymphoma,LYMPHOMA
C82.3,Follicular lymphoma grade 3a,LYMPHOMA
C82.4,Follicular lymphoma grade 3b,LYMPHOMA
C82.5,Diffuse follicle centre lymphoma,LYMPHOMA
C82.6,Cutaneous follicle centre lymphoma,LYMPHOMA
C84.6,"Anaplastic large cell lymphoma, ALK-positive",LYMPHOMA
C84.7,"Anaplastic large cell lymphoma, ALK-negative",LYMPHOMA
C84.8,"Cutaneous T-cell lymphoma, unspecified",LYMPHOMA
C84.9,"Mature T/NK-cell lymphoma, unspecified",LYMPHOMA
C85.2,Mediastinal (thymic) large B-cell lymphoma,LYMPHOMA
C88.40,"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], without mention of remission",LYMPHOMA
C88.41,"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission",LYMPHOMA
C96.4,Sarcoma of dendritic cells (accessory cells),LYMPHOMA
C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis,LYMPHOMA
C96.6,Unifocal Langerhans-cell histiocytosis,LYMPHOMA
C96.8,Histiocytic sarcoma,LYMPHOMA
F13.00,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication, unspecified sedative or hypnotic",DRUG_ABUSE
F13.01,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication, gamma hydroxybutyrate",DRUG_ABUSE
F13.09,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication, other specified sedative or hypnotic",DRUG_ABUSE
F13.10,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use, unspecified sedative or hypnotic",DRUG_ABUSE
F13.11,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use, gamma hydroxybutyrate",DRUG_ABUSE
F13.19,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use, other specified sedative or hypnotic",DRUG_ABUSE
F13.20,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome, unspecified sedative or hypnotic",DRUG_ABUSE
F13.21,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome, gamma hydroxybutyrate",DRUG_ABUSE
F13.29,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome, other specified sedative or hypnotic",DRUG_ABUSE
F13.30,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state, unspecified sedative or hypnotic",DRUG_ABUSE
F13.31,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state, gamma hydroxybutyrate",DRUG_ABUSE
F13.39,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state, other specified sedative or hypnotic",DRUG_ABUSE
F13.40,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium, unspecified sedative or hypnotic",DRUG_ABUSE
F13.41,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium, gamma hydroxybutyrate",DRUG_ABUSE
F13.49,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium, other specified sedative or hypnotic",DRUG_ABUSE
F13.50,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder, unspecified sedative or hypnotic",DRUG_ABUSE
F13.51,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder, gamma hydroxybutyrate",DRUG_ABUSE
F13.59,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder, other specified sedative or hypnotic",DRUG_ABUSE
F13.60,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome, unspecified sedative or hypnotic",DRUG_ABUSE
F13.61,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome, gamma hydroxybutyrate",DRUG_ABUSE
F13.69,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome, other specified sedative or hypnotic",DRUG_ABUSE
F13.70,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder, unspecified sedative or hypnotic",DRUG_ABUSE
F13.71,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder, gamma hydroxybutyrate",DRUG_ABUSE
F13.79,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder, other specified sedative or hypnotic",DRUG_ABUSE
F13.80,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders, unspecified sedative or hypnotic",DRUG_ABUSE
F13.81,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders, gamma hydroxybutyrate",DRUG_ABUSE
F13.89,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders, other specified sedative or hypnotic",DRUG_ABUSE
F13.90,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder, unspecified sedative or hypnotic",DRUG_ABUSE
F13.91,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder, gamma hydroxybutyrate",DRUG_ABUSE
F13.99,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder, other specified sedative or hypnotic",DRUG_ABUSE
F15.02,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication, methylenedioxy methamphetamine",DRUG_ABUSE
F15.12,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, methylenedioxy methamphetamine",DRUG_ABUSE
F15.22,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, methylenedioxy methamphetamine",DRUG_ABUSE
F15.32,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state, methylenedioxy methamphetamine",DRUG_ABUSE
F15.42,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium, methylenedioxy methamphetamine",DRUG_ABUSE
F15.52,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder, methylenedioxy methamphetamine",DRUG_ABUSE
F15.62,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome, methylenedioxy methamphetamine",DRUG_ABUSE
F15.72,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder, methylenedioxy methamphetamine",DRUG_ABUSE
F15.82,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders, methylenedioxy methamphetamine",DRUG_ABUSE
F15.92,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder, methylenedioxy methamphetamine",DRUG_ABUSE
F16.00,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication, unspecified hallucinogen",DRUG_ABUSE
F16.01,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication, ketamine",DRUG_ABUSE
F16.09,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication, other specified hallucinogen",DRUG_ABUSE
F16.10,"Mental and behavioural disorders due to use of hallucinogens, harmful use, unspecified hallucinogen",DRUG_ABUSE
F16.11,"Mental and behavioural disorders due to use of hallucinogens, harmful use, ketamine",DRUG_ABUSE
F16.19,"Mental and behavioural disorders due to use of hallucinogens, harmful use, other specified hallucinogen",DRUG_ABUSE
F16.20,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome, unspecified hallucinogen",DRUG_ABUSE
F16.21,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome, ketamine",DRUG_ABUSE
F16.29,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome, other specified hallucinogen",DRUG_ABUSE
F16.30,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state, unspecified hallucinogen",DRUG_ABUSE
F16.31,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state, ketamine",DRUG_ABUSE
F16.39,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state, other specified hallucinogen",DRUG_ABUSE
F16.40,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium, unspecified hallucinogen",DRUG_ABUSE
F16.41,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium, ketamine",DRUG_ABUSE
F16.49,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium, other specified hallucinogen",DRUG_ABUSE
F16.50,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder, unspecified hallucinogen",DRUG_ABUSE
F16.51,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder, ketamine",DRUG_ABUSE
F16.59,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder, other specified hallucinogen",DRUG_ABUSE
F16.60,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome, unspecified hallucinogen",DRUG_ABUSE
F16.61,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome, ketamine",DRUG_ABUSE
F16.69,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome, other specified hallucinogen",DRUG_ABUSE
F16.70,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder, unspecified hallucinogen",DRUG_ABUSE
F16.71,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder, ketamine",DRUG_ABUSE
F16.79,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder, other specified hallucinogen",DRUG_ABUSE
F16.80,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders, unspecified hallucinogen",DRUG_ABUSE
F16.81,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders, ketamine",DRUG_ABUSE
F16.89,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders, other specified hallucinogen",DRUG_ABUSE
F16.90,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder, unspecified hallucinogen",DRUG_ABUSE
F16.91,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder, ketamine",DRUG_ABUSE
F16.99,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder, other specified hallucinogen",DRUG_ABUSE
K29.20,"Alcoholic gastritis, without mention of haemorrhage",ALCOHOL_ABUSE
K29.21,"Alcoholic gastritis, with haemorrhage",ALCOHOL_ABUSE
I48.0,Paroxysmal atrial fibrillation,CARDIAC_ARRHYTHMIAS
I48.1,Persistent atrial fibrillation,CARDIAC_ARRHYTHMIAS
I48.2,Chronic atrial fibrillation,CARDIAC_ARRHYTHMIAS
I48.3,Typical atrial flutter,CARDIAC_ARRHYTHMIAS
I48.4,Atypical atrial flutter,CARDIAC_ARRHYTHMIAS
I48.9,"Atrial fibrillation and atrial flutter, unspecified",CARDIAC_ARRHYTHMIAS
C69.7,Malignant neoplasm of other specified parts of eye,SOLID_TUMOR_WITHOUT_METASTASIS
E66.10,"Drug-induced obesity, body mass index [BMI] not elsewhere classified",OBESITY
E66.11,"Drug-induced obesity, body mass index [BMI] 30 kg/m2 to 34.99 kg/m2",OBESITY
E66.12,"Drug-induced obesity, body mass index [BMI] 35 kg/m2 to 39.99 kg/m2",OBESITY
E66.13,"Drug-induced obesity, body mass index [BMI] 40 kg/m2 or more",OBESITY
E66.20,"Obesity with alveolar hypoventilation, body mass index [BMI] not elsewhere classified",OBESITY
E66.21,"Obesity with alveolar hypoventilation, body mass index [BMI] 30 kg/m2 to 34.99 kg/m2",OBESITY
E66.22,"Obesity with alveolar hypoventilation, body mass index [BMI] 35 kg/m2 to 39.99 kg/m2",OBESITY
E66.23,"Obesity with alveolar hypoventilation, body mass index [BMI] 40 kg/m2 or more",OBESITY
E66.3,Overweight,OBESITY
E66.90,"Obesity, not elsewhere classified, body mass index [BMI] not elsewhere classified",OBESITY
E66.91,"Obesity, not elsewhere classified, body mass index [BMI] 30 kg/m2 to 34.99 kg/m2",OBESITY
E66.92,"Obesity, not elsewhere classified, body mass index [BMI] 35 kg/m2 to 39.99 kg/m2",OBESITY
E66.93,"Obesity, not elsewhere classified, body mass index [BMI] 40 kg/m2 or more",OBESITY
C76.31,Malignant neoplasm of male pelvic organs,SOLID_TUMOR_WITHOUT_METASTASIS
C76.32,Malignant neoplasm of female pelvic organs,SOLID_TUMOR_WITHOUT_METASTASIS
C76.39,"Malignant neoplasm of pelvic organs, not elsewhere classified",SOLID_TUMOR_WITHOUT_METASTASIS
C79.83,Secondary malignant neoplasm of male genital organs,METASTATIC_CANCER
C79.84,Secondary malignant neoplasm of female genital organs,METASTATIC_CANCER
I49.50,"Sinus node dysfunction, unspecified",CARDIAC_ARRHYTHMIAS
I49.51,Sick sinus syndrome,CARDIAC_ARRHYTHMIAS
J41.2,Protracted bacterial bronchitis,CHRONIC_PULMONARY_DISEASE
T51.0,Toxic effect of ethanol,ALCOHOL_ABUSE
T51.2,Toxic effect of 2-Propanol,ALCOHOL_ABUSE
T51.8,Toxic effect of other alcohols,ALCOHOL_ABUSE
