ICD_CODE,LONG_DESCRIPTION,ELIXHAUSER_GROUP
K70.9,"Alcoholic liver disease, unspecified",LIVER_DISEASE
K71.1,Toxic liver disease with hepatic necrosis,LIVER_DISEASE
K71.3,Toxic liver disease with chronic persistent hepatitis,LIVER_DISEASE
K71.4,Toxic liver disease with chronic lobular hepatitis,LIVER_DISEASE
K71.5,Toxic liver disease with chronic active hepatitis,LIVER_DISEASE
K71.7,Toxic liver disease with fibrosis and cirrhosis of liver,LIVER_DISEASE
K72.0,Acute and subacute hepatic failure,LIVER_DISEASE
K72.1,Chronic hepatic failure,LIVER_DISEASE
K72.9,"Hepatic failure, unspecified",LIVER_DISEASE
K73.0,"Chronic persistent hepatitis, not elsewhere classified",LIVER_DISEASE
K73.1,"Chronic lobular hepatitis, not elsewhere classified",LIVER_DISEASE
K73.2,"Chronic active hepatitis, not elsewhere classified",LIVER_DISEASE
K73.8,"Other chronic hepatitis, not elsewhere classified",LIVER_DISEASE
K73.9,"Chronic hepatitis, unspecified",LIVER_DISEASE
K74.0,Hepatic fibrosis,LIVER_DISEASE
K74.1,Hepatic sclerosis,LIVER_DISEASE
K74.2,Hepatic fibrosis with hepatic sclerosis,LIVER_DISEASE
K74.3,Primary biliary cirrhosis,LIVER_DISEASE
K74.4,Secondary biliary cirrhosis,LIVER_DISEASE
K74.5,"Biliary cirrhosis, unspecified",LIVER_DISEASE
K74.6,Other and unspecified cirrhosis of liver,LIVER_DISEASE
K76.0,"Fatty (change of) liver, not elsewhere classified",LIVER_DISEASE
K76.2,Central haemorrhagic necrosis of liver,LIVER_DISEASE
K76.3,Infarction of liver,LIVER_DISEASE
K76.4,Peliosis hepatis,LIVER_DISEASE
K76.5,Hepatic veno-occlusive disease,LIVER_DISEASE
K76.6,Portal hypertension,LIVER_DISEASE
K76.7,Hepatorenal syndrome,LIVER_DISEASE
K76.8,Other specified diseases of liver,LIVER_DISEASE
K76.9,"Liver disease, unspecified",LIVER_DISEASE
L94.0,Localised scleroderma [morphea],RHEUMATOID_ARTHRITIS
L94.1,Linear scleroderma,RHEUMATOID_ARTHRITIS
L94.3,Sclerodactyly,RHEUMATOID_ARTHRITIS
M05.00,"Felty's syndrome, multiple sites",RHEUMATOID_ARTHRITIS
M05.01,"Felty's syndrome, shoulder region",RHEUMATOID_ARTHRITIS
M05.02,"Felty's syndrome, upper arm",RHEUMATOID_ARTHRITIS
M05.03,"Felty's syndrome, forearm",RHEUMATOID_ARTHRITIS
M05.04,"Felty's syndrome, hand",RHEUMATOID_ARTHRITIS
M05.05,"Felty's syndrome, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M05.06,"Felty's syndrome, lower leg",RHEUMATOID_ARTHRITIS
M05.07,"Felty's syndrome, ankle and foot",RHEUMATOID_ARTHRITIS
M05.08,"Felty's syndrome, other site",RHEUMATOID_ARTHRITIS
M05.09,"Felty's syndrome, site unspecified",RHEUMATOID_ARTHRITIS
M05.20,"Rheumatoid vasculitis, multiple sites",RHEUMATOID_ARTHRITIS
M05.21,"Rheumatoid vasculitis, shoulder region",RHEUMATOID_ARTHRITIS
M05.22,"Rheumatoid vasculitis, upper arm",RHEUMATOID_ARTHRITIS
M05.23,"Rheumatoid vasculitis, forearm",RHEUMATOID_ARTHRITIS
M05.24,"Rheumatoid vasculitis, hand",RHEUMATOID_ARTHRITIS
M05.25,"Rheumatoid vasculitis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M05.26,"Rheumatoid vasculitis, lower leg",RHEUMATOID_ARTHRITIS
M05.27,"Rheumatoid vasculitis, ankle and foot",RHEUMATOID_ARTHRITIS
