ICD_CODE,LONG_DESCRIPTION,MACSS_GROUP
D69.2,Other nonthrombocytopenic purpura,COAGULOPATHIES
D69.3,Idiopathic thrombocytopenic purpura,COAGULOPATHIES
D69.4,Other primary thrombocytopenia,COAGULOPATHIES
D69.5,Secondary thrombocytopenia,COAGULOPATHIES
D69.6,"Thrombocytopenia, unspecified",COAGULOPATHIES
D69.8,Other specified haemorrhagic conditions,COAGULOPATHIES
D69.9,"Haemorrhagic condition, unspecified",COAGULOPATHIES
D77.,Other disorders of blood and blood-forming organs in diseases classified elsewhere,COAGULOPATHIES
R23.3,Spontaneous ecchymoses,COAGULOPATHIES
F00.0,Dementia in Alzheimer's disease with early onset (G30.0+),DEMENTIA_OR_SENILITY
F00.1,Dementia in Alzheimer's disease with late onset (G30.1+),DEMENTIA_OR_SENILITY
F00.2,"Dementia in Alzheimer's disease, atypical or mixed type (G30.8+)",DEMENTIA_OR_SENILITY
F00.9,"Dementia in Alzheimer's disease, unspecified (G30.9+)",DEMENTIA_OR_SENILITY
F01.0,Vascular dementia of acute onset,DEMENTIA_OR_SENILITY
F01.1,Multi-infarct dementia,DEMENTIA_OR_SENILITY
F01.2,Subcortical vascular dementia,DEMENTIA_OR_SENILITY
F01.3,Mixed cortical and subcortical vascular dementia,DEMENTIA_OR_SENILITY
F01.8,Other vascular dementia,DEMENTIA_OR_SENILITY
F01.9,"Vascular dementia, unspecified",DEMENTIA_OR_SENILITY
F02.0,Dementia in Pick's disease (G31.0+),DEMENTIA_OR_SENILITY
F02.1,Dementia in Creutzfeldt-Jakob disease (A81.0+),DEMENTIA_OR_SENILITY
F02.2,Dementia in Huntington's disease (G10+),DEMENTIA_OR_SENILITY
F02.3,Dementia in Parkinson's disease (G20+),DEMENTIA_OR_SENILITY
F02.4,Dementia in human immunodeficiency virus [HIV] disease (B22+),DEMENTIA_OR_SENILITY
F02.8,Dementia in other specified diseases classified elsewhere,DEMENTIA_OR_SENILITY
F03.,Unspecified dementia,DEMENTIA_OR_SENILITY
F05.1,Delirium superimposed on dementia,DEMENTIA_OR_SENILITY
G30.0,Alzheimer's disease with early onset,DEMENTIA_OR_SENILITY
G30.1,Alzheimer's disease with late onset,DEMENTIA_OR_SENILITY
G30.8,Other Alzheimer's disease,DEMENTIA_OR_SENILITY
G30.9,"Alzheimer's disease, unspecified",DEMENTIA_OR_SENILITY
G31.0,Circumscribed brain atrophy,DEMENTIA_OR_SENILITY
G31.1,"Senile degeneration of brain, not elsewhere classified",DEMENTIA_OR_SENILITY
G31.2,Degeneration of nervous system due to alcohol,DEMENTIA_OR_SENILITY
G31.3,Lewy body disease,DEMENTIA_OR_SENILITY
G31.8,Other specified degenerative diseases of nervous system,DEMENTIA_OR_SENILITY
G31.9,"Degenerative disease of nervous system, unspecified",DEMENTIA_OR_SENILITY
R54.,Senility,DEMENTIA_OR_SENILITY
F10.0,"Mental and behavioural disorders due to use of alcohol, acute intoxication",ALCOHOLISM
F10.1,"Mental and behavioural disorders due to use of alcohol, harmful use",ALCOHOLISM
F10.2,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",ALCOHOLISM
F10.3,"Mental and behavioural disorders due to use of alcohol, withdrawal state",ALCOHOLISM
F10.4,"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium",ALCOHOLISM
F10.5,"Mental and behavioural disorders due to use of alcohol, psychotic disorder",ALCOHOLISM
F10.6,"Mental and behavioural disorders due to use of alcohol, amnesic syndrome",ALCOHOLISM
F10.7,"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder",ALCOHOLISM
F10.8,"Mental and behavioural disorders due to use of alcohol, other mental and behavioural disorders",ALCOHOLISM
F10.9,"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder",ALCOHOLISM
F11.0,"Mental and behavioural disorders due to use of opioids, acute intoxication",ILLICIT_DRUG_USE
F11.1,"Mental and behavioural disorders due to use of opioids, harmful use",ILLICIT_DRUG_USE
F11.2,"Mental and behavioural disorders due to use of opioids, dependence syndrome",ILLICIT_DRUG_USE
F11.3,"Mental and behavioural disorders due to use of opioids, withdrawal state",ILLICIT_DRUG_USE
F11.4,"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium",ILLICIT_DRUG_USE
F11.5,"Mental and behavioural disorders due to use of opioids, psychotic disorder",ILLICIT_DRUG_USE
F11.6,"Mental and behavioural disorders due to use of opioids, amnesic syndrome",ILLICIT_DRUG_USE
F11.7,"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F11.8,"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders",ILLICIT_DRUG_USE
F11.9,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F12.0,"Mental and behavioural disorders due to use of cannabinoids, acute intoxication",ILLICIT_DRUG_USE
F12.1,"Mental and behavioural disorders due to use of cannabinoids, harmful use",ILLICIT_DRUG_USE
F12.2,"Mental and behavioural disorders due to use of cannabinoids, dependence syndrome",ILLICIT_DRUG_USE
F12.3,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state",ILLICIT_DRUG_USE
F12.4,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium",ILLICIT_DRUG_USE
F12.5,"Mental and behavioural disorders due to use of cannabinoids, psychotic disorder",ILLICIT_DRUG_USE
F12.6,"Mental and behavioural disorders due to use of cannabinoids, amnesic syndrome",ILLICIT_DRUG_USE
F12.7,"Mental and behavioural disorders due to use of cannabinoids, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F12.8,"Mental and behavioural disorders due to use of cannabinoids, other mental and behavioural disorders",ILLICIT_DRUG_USE
F12.9,"Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F13.0,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication",ILLICIT_DRUG_USE
F13.1,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use",ILLICIT_DRUG_USE
F13.2,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome",ILLICIT_DRUG_USE
F13.3,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state",ILLICIT_DRUG_USE
F13.4,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium",ILLICIT_DRUG_USE
F13.5,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder",ILLICIT_DRUG_USE
F13.6,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome",ILLICIT_DRUG_USE
F13.7,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F13.8,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders",ILLICIT_DRUG_USE
F13.9,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F14.0,"Mental and behavioural disorders due to use of cocaine, acute intoxication",ILLICIT_DRUG_USE
F14.1,"Mental and behavioural disorders due to use of cocaine, harmful use",ILLICIT_DRUG_USE
F14.2,"Mental and behavioural disorders due to use of cocaine, dependence syndrome",ILLICIT_DRUG_USE
F14.3,"Mental and behavioural disorders due to use of cocaine, withdrawal state",ILLICIT_DRUG_USE
F14.4,"Mental and behavioural disorders due to use of cocaine, withdrawal state with delirium",ILLICIT_DRUG_USE
F14.5,"Mental and behavioural disorders due to use of cocaine, psychotic disorder",ILLICIT_DRUG_USE
F14.6,"Mental and behavioural disorders due to use of cocaine, amnesic syndrome",ILLICIT_DRUG_USE
F14.7,"Mental and behavioural disorders due to use of cocaine, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F14.8,"Mental and behavioural disorders due to use of cocaine, other mental and behavioural disorders",ILLICIT_DRUG_USE
F14.9,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F15.0,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication",ILLICIT_DRUG_USE
F15.1,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use",ILLICIT_DRUG_USE
F15.2,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome",ILLICIT_DRUG_USE
F15.3,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state",ILLICIT_DRUG_USE
F15.4,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium",ILLICIT_DRUG_USE
F15.5,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder",ILLICIT_DRUG_USE
F15.6,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome",ILLICIT_DRUG_USE
F15.7,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F15.8,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders",ILLICIT_DRUG_USE
F15.9,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F16.0,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication",ILLICIT_DRUG_USE
F16.1,"Mental and behavioural disorders due to use of hallucinogens, harmful use",ILLICIT_DRUG_USE
F16.2,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome",ILLICIT_DRUG_USE
F16.3,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state",ILLICIT_DRUG_USE
F16.4,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium",ILLICIT_DRUG_USE
F16.5,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder",ILLICIT_DRUG_USE
F16.6,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome",ILLICIT_DRUG_USE
F16.7,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F16.8,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders",ILLICIT_DRUG_USE
F16.9,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F17.2,"Mental and behavioural disorders due to use of tobacco, dependence syndrome",ILLICIT_DRUG_USE
F17.3,"Mental and behavioural disorders due to use of tobacco, withdrawal state",ILLICIT_DRUG_USE
F17.4,"Mental and behavioural disorders due to use of tobacco, withdrawal state with delirium",ILLICIT_DRUG_USE
F17.5,"Mental and behavioural disorders due to use of tobacco, psychotic disorder",ILLICIT_DRUG_USE
F17.6,"Mental and behavioural disorders due to use of tobacco, amnesic syndrome",ILLICIT_DRUG_USE
F17.7,"Mental and behavioural disorders due to use of tobacco, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F17.8,"Mental and behavioural disorders due to use of tobacco, other mental and behavioural disorders",ILLICIT_DRUG_USE
F17.9,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F18.0,"Mental and behavioural disorders due to use of volatile solvents, acute intoxication",ILLICIT_DRUG_USE
F18.1,"Mental and behavioural disorders due to use of volatile solvents, harmful use",ILLICIT_DRUG_USE
F18.2,"Mental and behavioural disorders due to use of volatile solvents, dependence syndrome",ILLICIT_DRUG_USE
F18.3,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state",ILLICIT_DRUG_USE
F18.4,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state with delirium",ILLICIT_DRUG_USE
F18.5,"Mental and behavioural disorders due to use of volatile solvents, psychotic disorder",ILLICIT_DRUG_USE
F18.6,"Mental and behavioural disorders due to use of volatile solvents, amnesic syndrome",ILLICIT_DRUG_USE
F18.7,"Mental and behavioural disorders due to use of volatile solvents, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F18.8,"Mental and behavioural disorders due to use of volatile solvents, other mental and behavioural disorders",ILLICIT_DRUG_USE
F18.9,"Mental and behavioural disorders due to use of volatile solvents, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F19.0,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, acute intoxication",ILLICIT_DRUG_USE
F19.1,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, harmful use",ILLICIT_DRUG_USE
F19.2,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, dependence syndrome",ILLICIT_DRUG_USE
F19.3,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, withdrawal state",ILLICIT_DRUG_USE
F19.4,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, withdrawal state with delirium",ILLICIT_DRUG_USE
F19.5,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, psychotic disorder",ILLICIT_DRUG_USE
F19.6,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, amnesic syndrome",ILLICIT_DRUG_USE
F19.7,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, residual and late-onset psychotic disorder",ILLICIT_DRUG_USE
F19.8,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, other mental and behavioural disorders",ILLICIT_DRUG_USE
F19.9,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, unspecified mental and behavioural disorder",ILLICIT_DRUG_USE
F55.0,"Harmful use of nondependence-producing substance, antidepressants",ILLICIT_DRUG_USE
F55.1,"Harmful use of nondependence-producing substance, laxatives",ILLICIT_DRUG_USE
F55.2,"Harmful use of nondependence-producing substance, analgesics",ILLICIT_DRUG_USE
F55.3,"Harmful use of nondependence-producing substance, antacids",ILLICIT_DRUG_USE
F55.4,"Harmful use of nondependence-producing substance, vitamins",ILLICIT_DRUG_USE
F55.5,"Harmful use of nondependence-producing substance, steroids or hormones",ILLICIT_DRUG_USE
F55.6,"Harmful use of nondependence-producing substance, specific herbal or folk remedies",ILLICIT_DRUG_USE
F55.8,Other substances that do not produce dependence,ILLICIT_DRUG_USE
F55.9,Unspecified harmful use of non-dependence producing substance,ILLICIT_DRUG_USE
F20.0,Paranoid schizophrenia,SCHIZOPHRENIA
F20.1,Hebephrenic schizophrenia,SCHIZOPHRENIA
F20.2,Catatonic schizophrenia,SCHIZOPHRENIA
F20.3,Undifferentiated schizophrenia,SCHIZOPHRENIA
F20.5,Residual schizophrenia,SCHIZOPHRENIA
F20.6,Simple schizophrenia,SCHIZOPHRENIA
F20.8,Other schizophrenia,SCHIZOPHRENIA
F20.9,"Schizophrenia, unspecified",SCHIZOPHRENIA
F21.,Schizotypal disorder,SCHIZOPHRENIA
F23.1,Acute polymorphic psychotic disorder with symptoms of schizophrenia,SCHIZOPHRENIA
F23.10,Acute polymorphic psychotic disorder with symptoms of schizophrenia without mention of associated acute stress,SCHIZOPHRENIA
F23.11,Acute polymorphic psychotic disorder with symptoms of schizophrenia with mention of associated acute stress,SCHIZOPHRENIA
F23.2,Acute schizophrenia-like psychotic disorder,SCHIZOPHRENIA
F23.20,Acute schizophrenia-like psychotic disorder without mention of associated acute stress,SCHIZOPHRENIA
F23.21,Acute schizophrenia-like psychotic disorder with mention of associated acute stress,SCHIZOPHRENIA
F25.0,"Schizoaffective disorder, manic type",SCHIZOPHRENIA
F25.1,"Schizoaffective disorder, depressive type",SCHIZOPHRENIA
F25.2,"Schizoaffective disorder, mixed type",SCHIZOPHRENIA
F25.8,Other schizoaffective disorders,SCHIZOPHRENIA
F25.9,"Schizoaffective disorder, unspecified",SCHIZOPHRENIA
F30.0,Hypomania,AFFECTIVE_PSYCHOSIS
F30.1,Mania without psychotic symptoms,AFFECTIVE_PSYCHOSIS
F30.2,Mania with psychotic symptoms,AFFECTIVE_PSYCHOSIS
F30.8,Other manic episodes,AFFECTIVE_PSYCHOSIS
F30.9,"Manic episode, unspecified",AFFECTIVE_PSYCHOSIS
F31.0,"Bipolar affective disorder, current episode hypomanic",AFFECTIVE_PSYCHOSIS
F31.1,"Bipolar affective disorder, current episode manic without psychotic symptoms",AFFECTIVE_PSYCHOSIS
F31.2,"Bipolar affective disorder, current episode manic with psychotic symptoms",AFFECTIVE_PSYCHOSIS
F31.3,"Bipolar affective disorder, current episode mild or moderate depression",AFFECTIVE_PSYCHOSIS
F31.4,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",AFFECTIVE_PSYCHOSIS
F31.5,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",AFFECTIVE_PSYCHOSIS
F31.6,"Bipolar affective disorder, current episode mixed",AFFECTIVE_PSYCHOSIS
F31.7,"Bipolar affective disorder, currently in remission",AFFECTIVE_PSYCHOSIS
F31.8,Other bipolar affective disorders,AFFECTIVE_PSYCHOSIS
F31.9,"Bipolar affective disorder, unspecified",AFFECTIVE_PSYCHOSIS
F32.0,Mild depressive episode,AFFECTIVE_PSYCHOSIS
F32.00,"Mild depressive episode, not specified as arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.01,"Mild depressive episode, arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.1,Moderate depressive episode,AFFECTIVE_PSYCHOSIS
F32.10,"Moderate depressive episode, not specified as arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.11,"Moderate depressive episode, arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.2,Severe depressive episode without psychotic symptoms,AFFECTIVE_PSYCHOSIS
F32.20,"Severe depressive episode without psychotic symptoms, not specified as arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.21,"Severe depressive episode without psychotic symptoms, arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.3,Severe depressive episode with psychotic symptoms,AFFECTIVE_PSYCHOSIS
F32.30,"Severe depressive episode with psychotic symptoms, not specified as arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.31,"Severe depressive episode with psychotic symptoms, arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.8,Other depressive episodes,AFFECTIVE_PSYCHOSIS
F32.80,"Other depressive episodes, not specified as arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F32.81,"Other depressive episodes, arising in the postnatal period",AFFECTIVE_PSYCHOSIS
F33.0,"Recurrent depressive disorder, current episode mild",AFFECTIVE_PSYCHOSIS
F33.1,"Recurrent depressive disorder, current episode moderate",AFFECTIVE_PSYCHOSIS
F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms",AFFECTIVE_PSYCHOSIS
F33.3,"Recurrent depressive disorder, current episode severe with psychotic symptoms",AFFECTIVE_PSYCHOSIS
F33.4,"Recurrent depressive disorder, currently in remission",AFFECTIVE_PSYCHOSIS
F33.8,Other recurrent depressive disorders,AFFECTIVE_PSYCHOSIS
F33.9,"Recurrent depressive disorder, unspecified",AFFECTIVE_PSYCHOSIS
F34.8,Other persistent mood [affective] disorders,AFFECTIVE_PSYCHOSIS
F34.9,"Persistent mood [affective] disorder, unspecified",AFFECTIVE_PSYCHOSIS
F38.0,Other single mood [affective] disorders,AFFECTIVE_PSYCHOSIS
F38.1,Other recurrent mood [affective] disorders,AFFECTIVE_PSYCHOSIS
F38.8,Other specified mood [affective] disorders,AFFECTIVE_PSYCHOSIS
F39.,Unspecified mood [affective] disorder,AFFECTIVE_PSYCHOSIS
F04.,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",OTHER_NONTRANSIENT_PSYCHOSES
F04.00,"Post traumatic amnesia, unspecified",OTHER_NONTRANSIENT_PSYCHOSES
F04.01,"Post traumatic amnesia, less than 24 hours duration",OTHER_NONTRANSIENT_PSYCHOSES
F04.02,"Post traumatic amnesia, 24 hours or more but less than 14 days duration",OTHER_NONTRANSIENT_PSYCHOSES
F04.03,"Post traumatic amnesia, 14 days or more duration",OTHER_NONTRANSIENT_PSYCHOSES
F04.9,"Amnesic syndrome, unspecified",OTHER_NONTRANSIENT_PSYCHOSES
F06.8,Other specified mental disorders due to brain damage and dysfunction and to physical disease or condition,OTHER_NONTRANSIENT_PSYCHOSES
F06.9,Unspecified mental disorder due to brain damage and dysfunction and to physical disease or condition,OTHER_NONTRANSIENT_PSYCHOSES
F09.,Unspecified organic or symptomatic mental disorder,OTHER_NONTRANSIENT_PSYCHOSES
F22.0,Delusional disorder,OTHER_NONTRANSIENT_PSYCHOSES
F22.8,Other persistent delusional disorders,OTHER_NONTRANSIENT_PSYCHOSES
F22.9,"Persistent delusional disorder, unspecified",OTHER_NONTRANSIENT_PSYCHOSES
F23.0,Acute polymorphic psychotic disorder without symptoms of schizophrenia,OTHER_NONTRANSIENT_PSYCHOSES
F23.00,"Acute polymorphic psychotic disorder without symptoms of schizophrenia, without mention of associated acute stress",OTHER_NONTRANSIENT_PSYCHOSES
F23.01,"Acute polymorphic psychotic disorder without symptoms of schizophrenia, with mention of associated acute stress",OTHER_NONTRANSIENT_PSYCHOSES
F23.3,Other acute predominantly delusional psychotic disorders,OTHER_NONTRANSIENT_PSYCHOSES
F23.30,Other acute predominately delusional psychotic disorders without mention of associated acute stress,OTHER_NONTRANSIENT_PSYCHOSES
F23.31,Other acute predominately delusional psychotic disorders with mention of associated acute stress,OTHER_NONTRANSIENT_PSYCHOSES
F23.8,Other acute and transient psychotic disorders,OTHER_NONTRANSIENT_PSYCHOSES
F23.80,Other acute and transient psychotic disorders without mention of associated acute stress,OTHER_NONTRANSIENT_PSYCHOSES
F23.81,Other acute and transient psychotic disorders with mention of associated acute stress,OTHER_NONTRANSIENT_PSYCHOSES
F23.9,"Acute and transient psychotic disorder, unspecified",OTHER_NONTRANSIENT_PSYCHOSES
F23.90,"Acute and transient psychotic disorder, unspecified, without mention of associated acute stress",OTHER_NONTRANSIENT_PSYCHOSES
F23.91,"Acute and transient psychotic disorder, unspecified, with mention of associated acute stress",OTHER_NONTRANSIENT_PSYCHOSES
F24.,Induced delusional disorder,OTHER_NONTRANSIENT_PSYCHOSES
F28.,Other nonorganic psychotic disorders,OTHER_NONTRANSIENT_PSYCHOSES
F29.,Unspecified nonorganic psychosis,OTHER_NONTRANSIENT_PSYCHOSES
F84.0,Childhood autism,OTHER_NONTRANSIENT_PSYCHOSES
F84.1,Atypical autism,OTHER_NONTRANSIENT_PSYCHOSES
F84.3,Other childhood disintegrative disorder,OTHER_NONTRANSIENT_PSYCHOSES
F84.4,Overactive disorder associated with mental retardation and stereotyped movements,OTHER_NONTRANSIENT_PSYCHOSES
F84.5,Asperger's syndrome,OTHER_NONTRANSIENT_PSYCHOSES
F84.8,Other pervasive developmental disorders,OTHER_NONTRANSIENT_PSYCHOSES
F84.9,"Pervasive developmental disorder, unspecified",OTHER_NONTRANSIENT_PSYCHOSES
F20.4,Post-schizophrenic depression,NONPSYCHOTIC_DEPRESSION
F32.9,"Depressive episode, unspecified",NONPSYCHOTIC_DEPRESSION
F32.90,"Depressive episode, unspecified, not specified as arising in the postnatal period",NONPSYCHOTIC_DEPRESSION
F32.91,"Depressive episode, unspecified, arising in the postnatal period",NONPSYCHOTIC_DEPRESSION
F34.1,Dysthymia,NONPSYCHOTIC_DEPRESSION
F41.2,Mixed anxiety and depressive disorder,NONPSYCHOTIC_DEPRESSION
F07.0,Organic personality disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F07.1,Postencephalitic syndrome,NEUROSES_OR_PERSONALITY_DISORDERS
F07.2,Postconcussional syndrome,NEUROSES_OR_PERSONALITY_DISORDERS
F07.8,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction",NEUROSES_OR_PERSONALITY_DISORDERS
F07.9,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction",NEUROSES_OR_PERSONALITY_DISORDERS
F34.0,Cyclothymia,NEUROSES_OR_PERSONALITY_DISORDERS
F40.00,Agoraphobia without mention of panic disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F40.01,Agoraphobia with panic disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F40.1,Social phobias,NEUROSES_OR_PERSONALITY_DISORDERS
F40.2,Specific (isolated) phobias,NEUROSES_OR_PERSONALITY_DISORDERS
F40.8,Other phobic anxiety disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F40.9,"Phobic anxiety disorder, unspecified",NEUROSES_OR_PERSONALITY_DISORDERS
F41.0,Panic disorder [episodic paroxysmal anxiety],NEUROSES_OR_PERSONALITY_DISORDERS
F41.1,Generalised anxiety disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F41.3,Other mixed anxiety disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F41.8,Other specified anxiety disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F41.9,"Anxiety disorder, unspecified",NEUROSES_OR_PERSONALITY_DISORDERS
F42.0,Predominantly obsessional thoughts or ruminations,NEUROSES_OR_PERSONALITY_DISORDERS
F42.1,Predominantly compulsive acts [obsessional rituals],NEUROSES_OR_PERSONALITY_DISORDERS
F42.2,Mixed obsessional thoughts and acts,NEUROSES_OR_PERSONALITY_DISORDERS
F42.8,Other obsessive-compulsive disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F42.9,"Obsessive-compulsive disorder, unspecified",NEUROSES_OR_PERSONALITY_DISORDERS
F43.1,Post traumatic stress disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F43.2,Adjustment disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F44.0,Dissociative amnesia,NEUROSES_OR_PERSONALITY_DISORDERS
F44.1,Dissociative fugue,NEUROSES_OR_PERSONALITY_DISORDERS
F44.2,Dissociative stupor,NEUROSES_OR_PERSONALITY_DISORDERS
F44.3,Trance and possession disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F44.4,Dissociative motor disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F44.5,Dissociative convulsions,NEUROSES_OR_PERSONALITY_DISORDERS
F44.6,Dissociative anaesthesia and sensory loss,NEUROSES_OR_PERSONALITY_DISORDERS
F44.7,Mixed dissociative [conversion] disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F44.80,Ganser's syndrome,NEUROSES_OR_PERSONALITY_DISORDERS
F44.81,Multiple personality disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F44.82,Transient dissociative [conversion] disorders occurring in childhood and adolescence,NEUROSES_OR_PERSONALITY_DISORDERS
F44.88,Other specified dissociative [conversion] disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F44.9,"Dissociative [conversion] disorder, unspecified",NEUROSES_OR_PERSONALITY_DISORDERS
F45.0,Somatisation disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F45.1,Undifferentiated somatoform disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F45.2,Hypochondriacal disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F45.30,"Somatoform autonomic dysfunction, unspecified organ or system",NEUROSES_OR_PERSONALITY_DISORDERS
F45.31,"Somatoform autonomic dysfunction, heart and cardiovascular system",NEUROSES_OR_PERSONALITY_DISORDERS
F45.32,"Somatoform autonomic dysfunction, upper gastrointestinal tract",NEUROSES_OR_PERSONALITY_DISORDERS
F45.33,"Somatoform autonomic dysfunction, lower gastrointestinal tract",NEUROSES_OR_PERSONALITY_DISORDERS
F45.34,"Somatoform autonomic dysfunction, respiratory system",NEUROSES_OR_PERSONALITY_DISORDERS
F45.35,"Somatoform autonomic dysfunction, genitourinary system",NEUROSES_OR_PERSONALITY_DISORDERS
F45.38,"Somatoform autonomic dysfunction, other specified organ or system",NEUROSES_OR_PERSONALITY_DISORDERS
F45.39,"Somatoform autonomic dysfunction, multiple organs or systems",NEUROSES_OR_PERSONALITY_DISORDERS
F45.4,Persistent somatoform pain disorder,NEUROSES_OR_PERSONALITY_DISORDERS
F45.8,Other somatoform disorders,NEUROSES_OR_PERSONALITY_DISORDERS
F45.9,"Somatoform disorder, unspecified",NEUROSES_OR_PERSONALITY_DISORDERS
F48.0,Neurasthenia,NEUROSES_OR_PERSONALITY_DISORDERS
